pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,resnet_cos_image_before_normalization,resnet_rho_image_before_normalization,resnet_cos_image_after_normalization,resnet_rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,w2v_cos_text_before_normalization,w2v_rho_text_before_normalization,w2v_cos_text_after_normalization,w2v_rho_text_after_normalization,cos_sim_init_CLIP,cos_sim_init_W2V
hour:seconds,feet:inches,44.09714889526367,0.40121726262002033,35.30363845825195,0.4918100223446745,56.2933349609375,0.5911476631476632,50.78229904174805,0.6504458784458784,43.11676788330078,0.2857623868461107,38.93098068237305,0.30123405331250497,58.04637145996094,0.5296546773910836,59.311279296875,0.5160762070295298,0.7299622893333435,0.5292327404022217
kid:child,raise:elevate,18.00125503540039,0.8003215623247616,18.88040542602539,0.7876761502786646,21.073259353637695,0.9390280710280713,22.39058494567871,0.9316964476964479,32.94135284423828,0.34155648110001025,32.315208435058594,0.34962102030189635,76.49401092529297,0.21207775014210742,76.13162231445312,0.22175772153226447,0.8392276167869568,0.2335469126701355
library:books,bird:feathers,37.3272819519043,0.5022428717341298,38.59009552001953,0.49989235360089723,59.43136215209961,0.5288396528396528,57.021827697753906,0.5650814170814171,34.487674713134766,0.3644085420457536,36.102333068847656,0.34332772928325384,70.65888214111328,0.31343925218450097,71.56919860839844,0.304083686657034,0.8242480158805847,0.3311915993690491
weapon:spear,bird:robin,34.68148422241211,0.6095167105835364,35.157562255859375,0.6110264423902222,52.469207763671875,0.5488435648435649,47.503883361816406,0.6108256428256429,42.02214050292969,0.3118230972694293,39.85050964355469,0.3221830797026814,60.76747131347656,0.47571659527998267,60.19532012939453,0.485808331647856,0.7428861856460571,0.48835524916648865
wash:clean,teach:educated,37.93145751953125,0.43768730831073127,34.60991287231445,0.4748374753951088,47.16819381713867,0.7313209193209194,45.080299377441406,0.7591677871677872,25.78820037841797,0.43186608787951614,27.768739700317383,0.41452768622469416,71.62049102783203,0.29857625167913315,71.49612426757812,0.3024685089110415,0.9004083871841431,0.31530967354774475
spinner:yarn,weaver:cloth,40.961029052734375,0.5047148049919318,43.288455963134766,0.4809088574747371,61.373348236083984,0.4355555795555796,66.5530014038086,0.3624626424626425,43.07545471191406,0.3351105718062279,42.807498931884766,0.3393669855288907,67.74950408935547,0.36162415950222493,67.47992706298828,0.36756270623541226,0.7304549217224121,0.37865668535232544
hunger:starvation,sadness:depression,36.84771728515625,0.508150370217782,35.51172637939453,0.522503283036358,30.791507720947266,0.8656565416565417,32.275413513183594,0.8516387036387038,27.577241897583008,0.4655551192478914,28.3813419342041,0.4548088078357995,76.17003631591797,0.2439781422787061,77.24803924560547,0.22475182078485048,0.8863875269889832,0.23904123902320862
crown:royalty,smoke:fire,33.2481575012207,0.5415554439752349,32.943660736083984,0.5394558921561896,58.269683837890625,0.5079533799533801,56.67572784423828,0.5358164958164958,30.976638793945312,0.3216292014282281,33.48735809326172,0.30276694161202095,70.14220428466797,0.33233275843845844,70.73113250732422,0.32189401632215414,0.8573772311210632,0.33968687057495117
fail:succeed,attract:repel,47.563236236572266,0.237009922780696,50.992794036865234,0.21674387881804968,39.70435333251953,0.7514800274800275,46.04094696044922,0.6743585903585904,45.455955505371094,0.2849663935809844,41.58433151245117,0.29538502720843207,74.9135513305664,0.22185191975545068,75.83834075927734,0.20781034371851032,0.7014573812484741,0.2602761387825012
tired:exhaustion,morose:sadness,32.082191467285156,0.4392584629381674,28.510244369506836,0.49204972333802544,37.460872650146484,0.7863368703368705,31.900358200073242,0.8462816582816584,30.987642288208008,0.38595409399640657,30.468719482421875,0.38913484839381557,70.55117797851562,0.28846985698416283,70.90663146972656,0.2856787295743127,0.8572783470153809,0.33296477794647217
fire:cold,rainbow:monochromatic,45.42802429199219,0.29608606991222347,43.64512634277344,0.30377804886073634,69.64705657958984,0.3558992118992119,60.15628433227539,0.49292311292311297,42.33934783935547,0.22619503596319562,39.90643310546875,0.22922263564161546,73.37354278564453,0.29943552417867664,73.55008697509766,0.29641486605819967,0.7391687631607056,0.28613096475601196
