pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,diff_cos_before_normalization,diff_rho_before_normalization,diff_cos_after_normalization,diff_rho_after_normalization
hour:seconds,feet:inches,44.09715270996094,0.4012172626200203,35.30364227294922,0.4918100223446745,43.11676788330078,0.2857623868461107,38.93098068237305,0.3012340533125049,0.9803848266601562,0.11545487577390956,-3.627338409423828,0.1905759690321696
kid:child,raise:elevate,18.001277923583984,0.8003215623247616,18.88040542602539,0.7876761502786646,32.94135284423828,0.3415564811000102,32.315208435058594,0.3496210203018963,-14.940074920654297,0.4587650812247514,-13.434803009033203,0.43805512997676826
library:books,bird:feathers,37.32728958129883,0.5022428717341298,38.59009552001953,0.4998923536008972,34.487674713134766,0.3644085420457536,36.102333068847656,0.3433277292832538,2.8396148681640625,0.13783432968837622,2.487762451171875,0.1565646243176434
weapon:spear,bird:robin,34.68147659301758,0.6095167105835364,35.15756607055664,0.6110264423902222,42.02214050292969,0.3118230972694293,39.85050964355469,0.3221830797026814,-7.340663909912109,0.2976936133141071,-4.692943572998047,0.2888433626875408
wash:clean,teach:educated,37.931453704833984,0.4376873083107312,34.60990905761719,0.4748374753951088,25.78820037841797,0.4318660878795161,27.768739700317383,0.4145276862246941,12.143253326416016,0.005821220431215135,6.841169357299805,0.060309789170414685
spinner:yarn,weaver:cloth,40.961029052734375,0.5047148049919318,43.2884521484375,0.4809088574747371,43.07545471191406,0.3351105718062279,42.807498931884766,0.3393669855288907,-2.1144256591796875,0.1696042331857039,0.4809532165527344,0.1415418719458464
hunger:starvation,sadness:depression,36.84772872924805,0.508150370217782,35.5117301940918,0.522503283036358,27.577241897583008,0.4655551192478914,28.3813419342041,0.4548088078357995,9.270486831665039,0.042595250969890586,7.130388259887695,0.06769447520055843
crown:royalty,smoke:fire,33.24815368652344,0.5415554439752349,32.943660736083984,0.5394558921561896,30.976638793945312,0.3216292014282281,33.48735809326172,0.3027669416120209,2.271514892578125,0.21992624254700682,-0.5436973571777344,0.23668895054416872
fail:succeed,attract:repel,47.5632438659668,0.237009922780696,50.9927978515625,0.2167438788180496,45.45595550537109,0.2849663935809844,41.58433151245117,0.295385027208432,2.1072883605957102,-0.04795647080028842,9.408466339111328,-0.07864114839038241
tired:exhaustion,morose:sadness,32.082183837890625,0.4392584629381674,28.510223388671875,0.4920497233380254,30.987642288208008,0.3859540939964065,30.468719482421875,0.3891348483938155,1.0945415496826172,0.05330436894176088,-1.95849609375,0.10291487494420987
fire:cold,rainbow:monochromatic,45.428016662597656,0.2960860699122234,43.64512634277344,0.3037780488607363,42.33934783935547,0.2261950359631956,39.90643310546875,0.2292226356416154,3.0886688232421875,0.06989103394902782,3.7386932373046875,0.07455541321912088
laugh:happiness,nod:agreement,56.88808441162109,0.1596283445485861,52.477783203125,0.1773634464300019,33.30144119262695,0.1055191310181847,35.332889556884766,0.0846017548151199,23.586643218994134,0.05410921353040139,17.144893646240234,0.092761691614882
retiree:job,widow:husband,55.33906555175781,0.1386736854979915,58.91231536865234,0.0926236467309827,38.49468231201172,0.2581094216706149,38.93537139892578,0.2612030039425046,16.844383239746094,-0.1194357361726234,19.976943969726555,-0.16857935721152192
unstable:fall,fragile:break,39.73169708251953,0.4459602559480894,40.687782287597656,0.4542610092583056,49.07649612426758,0.2315272930007867,42.90039443969727,0.2543223069088245,-9.344799041748047,0.2144329629473027,-2.2126121520996165,0.19993870234948108
harvesting:farming,stitching:sewing,26.274232864379883,0.6095639176422792,26.11347007751465,0.6111644872741213,31.797372817993164,0.5959318959499205,31.01933479309082,0.6061268324921893,-5.523139953613281,0.013632021692358776,-4.905864715576172,0.005037654781931966
botany:plants,mathematics:numbers,29.964370727539062,0.5500252665053044,32.88028717041016,0.5239345152264222,28.841949462890625,0.4590604829711264,30.87501716613769,0.4347230984138427,1.1224212646484375,0.09096478353417797,2.0052700042724716,0.08921141681257949
millionaire:wealth,coward:fear,27.752704620361328,0.5568280003662124,27.37749481201172,0.5650646486364312,29.89332771301269,0.2898566157116536,30.747329711914062,0.2819937793971229,-2.1406230926513636,0.2669713846545588,-3.3698348999023438,0.28307086923930835
library:books,school:student,37.29446792602539,0.3718899667833968,39.19684600830078,0.3409261595770247,27.27784919738769,0.3256724681280828,30.221189498901367,0.2562405407067898,10.016618728637699,0.04621749865531399,8.975656509399414,0.0846856188702349
consume:edible,eat:edible,15.706124305725098,0.8946045192890903,14.753978729248049,0.9035296932399492,24.284772872924805,0.7519142998764032,23.959518432617188,0.7608373280518649,-8.578648567199707,0.1426902194126871,-9.205539703369139,0.14269236518808437
hot:cold,big:small,39.83566665649414,0.4407430712912418,41.292579650878906,0.4370028953662695,29.62723731994629,0.4131180011959121,28.7019100189209,0.4219116569963722,10.208429336547852,0.027625070095329718,12.590669631958008,0.015091238369897342
omelette:eggs,ocean:water,37.14728164672852,0.4461936090225563,38.33984756469727,0.4352215441571966,38.04408264160156,0.3548509007965118,39.09280014038086,0.3487768364976368,-0.8968009948730398,0.09134270822604446,-0.7529525756835866,0.0864447076595598
mask:face,makeup:blemish,42.11385726928711,0.4735972172154129,41.98731231689453,0.4744498947139538,36.18183898925781,0.2589961633535894,38.0038948059082,0.241167809649695,5.932018280029297,0.21460105386182354,3.983417510986328,0.23328208506425882
forward:backward,top:bottom,43.72625732421875,0.3730910645620901,38.25122833251953,0.4086822364129502,30.374422073364254,0.46785950321008,30.668127059936523,0.4620429319588926,13.351835250854496,-0.0947684386479899,7.583101272583008,-0.053360695545942416
fragile:damaged,elastic:stretched,46.37436676025391,0.2789714547498884,43.54942321777344,0.2986898789496572,35.1868782043457,0.3406283438333276,36.2659797668457,0.3356459427678785,11.18748855590821,-0.06165688908343919,7.283443450927734,-0.03695606381822131
arrhythmia:heartbeat,pimple:skin,28.47121238708496,0.5713746588217119,32.12124252319336,0.5467724498174661,38.79469299316406,0.3124754129902382,37.90278625488281,0.3184223400968174,-10.323480606079102,0.2588992458314737,-5.781543731689453,0.22835010972064868
library:book,casino:cards,31.68123817443848,0.5664512665796912,33.927581787109375,0.5544863335564939,36.22769165039063,0.3328610839312894,37.629127502441406,0.325786283631453,-4.546453475952152,0.23359018264840187,-3.7015457153320312,0.2287000499250409
script:movie,choreography:performance,56.645206451416016,0.3076684290635263,55.867286682128906,0.3069747177590094,34.86143112182617,0.3165640091953628,35.097015380859375,0.3215986241288152,21.783775329589844,-0.0088955801318365,20.77027130126953,-0.014623906369805761
ocean:Pacific,planet:Earth,37.9999885559082,0.6909023951144985,35.37683868408203,0.7102279636019272,30.06494903564453,0.4436967311257596,31.28633499145508,0.4272112751914032,7.935039520263672,0.2472056639887389,4.09050369262695,0.283016688410524
wash:dirty,fill:empty,49.97711563110352,0.2297999386308236,43.92061614990234,0.2920254581945732,31.0196533203125,0.299138614229638,33.102149963378906,0.281754078403772,18.957462310791023,-0.0693386755988144,10.81846618652343,0.010271379790801227
hand:finger,egg:yolk,20.89849853515625,0.8180280538675456,21.08202362060547,0.8189449258133918,39.402565002441406,0.4005593142387933,37.89594268798828,0.4103650607683592,-18.504066467285156,0.4174687396287523,-16.813919067382812,0.40857986504503263
father:mother,mother:father,38.70528793334961,0.3999787925864891,39.06875228881836,0.3929135588686327,41.450439453125,0.2024261030716059,40.82743835449219,0.2126896150192833,-2.7451515197753906,0.1975526895148832,-1.7586860656738281,0.18022394384934942
life:biography,achievement:trophy,43.537410736083984,0.4638968819022442,40.76226043701172,0.4410575167942688,34.88437271118164,0.3549031146645151,32.56281280517578,0.3620864554365365,8.653038024902344,0.10899376723772913,8.199447631835938,0.0789710613577323
