pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,diff_cos_before_normalization,diff_rho_before_normalization,diff_cos_after_normalization,diff_rho_after_normalization
hour:seconds,feet:inches,40.39213180541992,0.4690349410913128,34.49314498901367,0.5226374834060036,43.11676788330078,0.2857623868461107,38.93098068237305,0.3012340533125049,-2.7246360778808594,0.18327255424520206,-4.437835693359375,0.22140343009349867
kid:child,raise:elevate,43.47481536865234,0.1781542540712511,43.33380126953125,0.1794191886680171,32.94135284423828,0.3415564811000102,32.315208435058594,0.3496210203018963,10.533462524414055,-0.1634022270287591,11.018592834472656,-0.1702018316338792
library:books,bird:feathers,37.318389892578125,0.5050494565466177,38.40877151489258,0.5022934762705851,34.487674713134766,0.3644085420457536,36.102333068847656,0.3433277292832538,2.8307151794433594,0.14064091450086408,2.306438446044922,0.1589657469873313
weapon:spear,bird:robin,34.41952896118164,0.6104212443208478,35.07790756225586,0.6112967206829859,42.02214050292969,0.3118230972694293,39.85050964355469,0.3221830797026814,-7.602611541748047,0.29859814705141846,-4.772602081298828,0.2891136409803045
wash:clean,teach:educated,35.62907028198242,0.4962152992355317,33.80535125732422,0.5275634684599627,25.78820037841797,0.4318660878795161,27.768739700317383,0.4145276862246941,9.840869903564453,0.06434921135601562,6.036611557006836,0.11303578223526861
spinner:yarn,weaver:cloth,46.4272346496582,0.4491288509515799,48.9471549987793,0.3983168895412046,43.07545471191406,0.3351105718062279,42.807498931884766,0.3393669855288907,3.3517799377441406,0.11401827914535201,6.139656066894531,0.05894990401231387
hunger:starvation,sadness:depression,36.84772872924805,0.508150370217782,35.5117301940918,0.522503283036358,27.577241897583008,0.4655551192478914,28.3813419342041,0.4548088078357995,9.270486831665039,0.042595250969890586,7.130388259887695,0.06769447520055843
crown:royalty,smoke:fire,34.73013687133789,0.5086396964156968,34.35150146484375,0.4908640036163468,30.976638793945312,0.3216292014282281,33.48735809326172,0.3027669416120209,3.753498077392578,0.18701049498746874,0.8641433715820312,0.1880970620043259
fail:succeed,attract:repel,62.805442810058594,0.0381386542841121,65.80419158935547,0.016616080011673,45.45595550537109,0.2849663935809844,41.58433151245117,0.295385027208432,17.349487304687507,-0.2468277392968723,24.219860076904297,-0.27876894719675904
tired:exhaustion,morose:sadness,32.082183837890625,0.4392584629381674,28.510223388671875,0.4920497233380254,30.987642288208008,0.3859540939964065,30.468719482421875,0.3891348483938155,1.0945415496826172,0.05330436894176088,-1.95849609375,0.10291487494420987
